"DexNumber","Name","Type","Abilities","Generation","Hp","Attack","Defense","SpecialAttack","SpecialDefense","Speed","TotalStats","Weight","Height","GenderProbM","Category","CatchRate","EggCycles","EggGroup","LevelingRate","BaseFriendship"
538,"Throh","['Fighting']","['Guts', 'Inner Focus', 'Mold Breaker']","V",120,100,85,30,85,45,465,55.5,1.3,1.0,"Judo Pokémon","45","20",['Human-Like'],"Medium Fast
","70
"
539,"Sawk","['Fighting']","['Sturdy', 'Inner Focus', 'Mold Breaker']","V",75,125,75,30,75,85,465,51.0,1.4,1.0,"Karate Pokémon","45","20",['Human-Like'],"Medium Fast
","70
"
540,"Sewaddle","['Bug', 'Grass']","['Swarm', 'Chlorophyll', 'Overcoat']","V",45,53,70,40,60,42,310,2.5,0.3,0.5,"Sewing Pokémon","255","15",['Bug'],"Medium Slow
","70
"
541,"Swadloon","['Bug', 'Grass']","['Leaf Guard', 'Chlorophyll', 'Overcoat']","V",55,63,90,50,80,42,380,7.3,0.5,0.5,"Leaf-Wrapped Pokémon","120","15",['Bug'],"Medium Slow
","70
"
542,"Leavanny","['Bug', 'Grass']","['Swarm', 'Chlorophyll', 'Overcoat']","V",75,103,80,70,80,92,500,20.5,1.2,0.5,"Nurturing Pokémon","45","15",['Bug'],"Medium Slow
","70
"
543,"Venipede","['Bug', 'Poison']","['Poison Point', 'Swarm']","V",30,45,59,30,39,57,260,5.3,0.4,0.5,"Centipede Pokémon","255","15",['Bug'],"Medium Slow
","70
"
544,"Whirlipede","['Bug', 'Poison']","['Poison Point', 'Swarm']","V",40,55,99,40,79,47,360,58.5,1.2,0.5,"Curlipede Pokémon","120","15",['Bug'],"Medium Slow
","70
"
545,"Scolipede","['Bug', 'Poison']","['Poison Point', 'Swarm']","V",60,100,89,55,69,112,485,200.5,2.5,0.5,"Megapede Pokémon","45","20",['Bug'],"Medium Slow
","70
"
546,"Cottonee","['Grass', 'Fairy']","['Prankster', 'Infiltrator', 'Chlorophyll']","V",40,27,60,37,50,66,280,0.6,0.3,0.5,"Cotton Puff Pokémon","190","20",['Grass' 'Fairy'],"Medium Fast
","70
"
547,"Whimsicott","['Grass', 'Fairy']","['Prankster', 'Infiltrator', 'Chlorophyll']","V",60,67,85,77,75,116,480,6.6,0.7,0.5,"Windveiled Pokémon","75","20",['Grass' 'Fairy'],"Medium Fast
","70
"
548,"Petilil","['Grass']","['Chlorophyll', 'Own Tempo', 'Leaf Guard']","V",45,35,50,70,50,30,280,6.6,0.5,0.0,"Bulb Pokémon","190","20",['Grass'],"Medium Fast
","70
"
549,"Lilligant","['Grass']","['Chlorophyll', 'Own Tempo', 'Leaf Guard']","V",70,60,75,110,75,90,480,16.3,1.1,0.0,"Flowering PokémonSpinning Pokémon","75","20",['Grass'],"Medium Fast
","70
"
549,"Hisuian Lilligant","['Grass', 'Fighting']","['Chlorophyll', 'Hustle', 'Leaf Guard']","V",70,105,75,50,75,105,480,16.3,1.1,0.0,"Flowering PokémonSpinning Pokémon","75","20",['Grass'],"Medium Fast
","70
"
550,"Basculin Red-Striped Form","['Water']","['Reckless', 'Adaptability', 'Mold Breaker']","V",70,92,65,80,55,98,460,18.0,1.0,0.5,"Hostile PokémonMellow Pokémon","190","40",['Water 2'],"Medium Fast
","70
"
550,"Basculin Blue-Striped Form","['Water']","['Rock Head', 'Adaptability', 'Mold Breaker']","V",70,92,65,80,55,98,460,18.0,1.0,0.5,"Hostile PokémonMellow Pokémon","190","40",['Water 2'],"Medium Fast
","70
"
550,"Basculin White-Striped Form","['Water']","['Rattled', 'Adaptability', 'Mold Breaker']","V",70,92,65,80,55,98,460,18.0,1.0,0.5,"Hostile PokémonMellow Pokémon","190","40",['Water 2'],"Medium Fast
","70
"
551,"Sandile","['Ground', 'Dark']","['Intimidate', 'Moxie', 'Anger Point']","V",50,72,35,35,35,65,292,15.2,0.7,0.5,"Desert Croc Pokémon","180","20",['Field'],"Medium Slow
","70
"
552,"Krokorok","['Ground', 'Dark']","['Intimidate', 'Moxie', 'Anger Point']","V",60,82,45,45,45,74,351,33.4,1.0,0.5,"Desert Croc Pokémon","90","20",['Field'],"Medium Slow
","70
"
553,"Krookodile","['Ground', 'Dark']","['Intimidate', 'Moxie', 'Anger Point']","V",95,117,80,65,70,92,519,96.3,1.5,0.5,"Intimidation Pokémon","45","20",['Field'],"Medium Slow
","70
"
554,"Darumaka","['Fire']","['Inner Focus']","V",70,90,45,15,45,50,315,37.5,0.6,0.5,"Zen Charm Pokémon","120","20",['Field'],"Medium Slow
","70
"
554,"Galarian Darumaka","['Ice']","['Hustle', 'Inner Focus']","V",70,90,45,15,45,50,315,37.5,0.6,0.5,"Zen Charm Pokémon","120","20",['Field'],"Medium Slow
","70
"
555,"Darmanitan Standard Mode","['Fire']","['Sheer Force', 'Zen Mode']","V",105,140,55,30,55,95,540,92.9,1.3,0.5,"Blazing PokémonZen Charm Pokémon","60","20",['Field'],"Medium Slow
","70
"
555,"Darmanitan Zen Mode","['Fire', 'Psychic']","['Zen Mode']","V",105,30,105,140,105,55,540,92.9,1.3,0.5,"Blazing PokémonZen Charm Pokémon","60","20",['Field'],"Medium Slow
","70
"
555,"Galarian Darmanitan","['Fire']","['Zen Mode']","V",105,160,55,30,55,135,540,92.9,1.3,0.5,"Blazing PokémonZen Charm Pokémon","60","20",['Field'],"Medium Slow
","70
"
555,"Darmanitan Zen Mode(Galarian Form)","['Fire']","['Zen Mode']","V",105,160,55,30,55,135,540,92.9,1.3,0.5,"Blazing PokémonZen Charm Pokémon","60","20",['Field'],"Medium Slow
","70
"
556,"Maractus","['Grass']","['Water Absorb', 'Chlorophyll', 'Storm Drain']","V",75,86,67,106,67,60,461,28.0,1.0,0.5,"Cactus Pokémon","255","20",['Grass'],"Medium Fast
","70
"
557,"Dwebble","['Bug', 'Rock']","['Sturdy', 'Shell Armor', 'Weak Armor']","V",50,65,85,35,35,55,325,14.5,0.3,0.5,"Rock Inn Pokémon","190","20",['Bug' 'Mineral'],"Medium Fast
","70
"
558,"Crustle","['Bug', 'Rock']","['Sturdy', 'Shell Armor', 'Weak Armor']","V",70,105,125,65,75,45,485,200.0,1.4,0.5,"Stone Home Pokémon","75","20",['Bug' 'Mineral'],"Medium Fast
","70
"
559,"Scraggy","['Dark', 'Fighting']","['Shed Skin', 'Moxie', 'Intimidate']","V",50,75,70,35,70,48,348,11.8,0.6,0.5,"Shedding Pokémon","180","15",['Field' 'Dragon'],"Medium Fast
","35
"
560,"Scrafty","['Dark', 'Fighting']","['Shed Skin', 'Moxie', 'Intimidate']","V",65,90,115,45,115,58,488,30.0,1.1,0.5,"Hoodlum Pokémon","90","15",['Field' 'Dragon'],"Medium Fast
","70
"
561,"Sigilyph","['Psychic', 'Flying']","['Wonder Skin', 'Magic Guard', 'Tinted Lens']","V",72,58,80,103,80,97,490,14.0,1.4,0.5,"Avianoid Pokémon","45","20",['Flying'],"Medium Fast
","70
"
562,"Yamask","['Ghost']","['Mummy']","V",38,30,85,55,65,30,303,1.5,0.5,0.5,"Spirit Pokémon","190","25",['Mineral' 'Amorphous'],"Medium Fast
","70
"
562,"Galarian Yamask","['Ground', 'Ghost']","['Wandering Spirit']","V",38,55,85,30,65,30,303,1.5,0.5,0.5,"Spirit Pokémon","190","25",['Mineral' 'Amorphous'],"Medium Fast
","70
"
563,"Cofagrigus","['Ghost']","['Mummy']","V",58,50,145,95,105,30,483,76.5,1.7,0.5,"Coffin Pokémon","90","25",['Mineral' 'Amorphous'],"Medium Fast
","70
"
564,"Tirtouga","['Water', 'Rock']","['Solid Rock', 'Sturdy', 'Swift Swim']","V",54,78,103,53,45,22,355,16.5,0.7,0.875,"Prototurtle Pokémon","45","30",['Water 1' 'Water 3'],"Medium Fast
","70
"
565,"Carracosta","['Water', 'Rock']","['Solid Rock', 'Sturdy', 'Swift Swim']","V",74,108,133,83,65,32,495,81.0,1.2,0.875,"Prototurtle Pokémon","45","30",['Water 1' 'Water 3'],"Medium Fast
","70
"
566,"Archen","['Rock', 'Flying']","['Defeatist']","V",55,112,45,74,45,70,401,9.5,0.5,0.875,"First Bird Pokémon","45","30",['Flying' 'Water 3'],"Medium Fast
","70
"
567,"Archeops","['Rock', 'Flying']","['Defeatist']","V",75,140,65,112,65,110,567,32.0,1.4,0.875,"First Bird Pokémon","45","30",['Flying' 'Water 3'],"Medium Fast
","70
"
568,"Trubbish","['Poison']","['Stench', 'Sticky Hold', 'Aftermath']","V",50,50,62,40,62,65,329,31.0,0.6,0.5,"Trash Bag Pokémon","190","20",['Mineral'],"Medium Fast
","70
"
569,"Garbodor","['Poison']","['Aftermath']","V",80,95,82,60,82,75,474,107.3,1.9,0.5,"Trash Heap Pokémon","60","20",['Mineral'],"Medium Fast
","70
"
570,"Zorua","['Dark']","['Illusion']","V",40,65,40,80,40,65,330,12.5,0.7,0.875,"Tricky Fox PokémonSpiteful Fox Pokémon","75","25",['Field'],"Medium Slow
","70
"
570,"Hisuian Zorua","['Normal', 'Ghost']","['Illusion']","V",35,60,40,85,40,70,330,12.5,0.7,0.875,"Tricky Fox PokémonSpiteful Fox Pokémon","75","25",['Field'],"Medium Slow
","70
"
571,"Zoroark","['Dark']","['Illusion']","V",60,105,60,120,60,105,510,81.1,1.6,0.875,"Illusion Fox PokémonBaneful Fox Pokémon","45","20",['Field'],"Medium Slow
","70
"
571,"Hisuian Zoroark","['Normal', 'Ghost']","['Illusion']","V",55,100,60,125,60,110,510,81.1,1.6,0.875,"Illusion Fox PokémonBaneful Fox Pokémon","45","20",['Field'],"Medium Slow
","70
"
572,"Minccino","['Normal']","['Cute Charm', 'Technician', 'Skill Link']","V",55,50,40,40,40,75,300,5.8,0.4,0.25,"Chinchilla Pokémon","255","15",['Field'],"Fast
","70
"
573,"Cinccino","['Normal']","['Cute Charm', 'Technician', 'Skill Link']","V",75,95,60,65,60,115,470,7.5,0.5,0.25,"Scarf Pokémon","60","15",['Field'],"Fast
","70
"
574,"Gothita","['Psychic']","['Frisk', 'Competitive', 'Shadow Tag']","V",45,30,50,55,65,45,290,5.8,0.4,0.25,"Fixation Pokémon","200","20",['Human-Like'],"Medium Slow
","70
"
575,"Gothorita","['Psychic']","['Frisk', 'Competitive', 'Shadow Tag']","V",60,45,70,75,85,55,390,18.0,0.7,0.25,"Manipulate Pokémon","100","20",['Human-Like'],"Medium Slow
","70
"
576,"Gothitelle","['Psychic']","['Frisk', 'Competitive', 'Shadow Tag']","V",70,55,95,95,110,65,490,44.0,1.5,0.25,"Astral Body Pokémon","50","20",['Human-Like'],"Medium Slow
","70
"
577,"Solosis","['Psychic']","['Overcoat', 'Magic Guard', 'Regenerator']","V",45,30,40,105,50,20,290,1.0,0.3,0.5,"Cell Pokémon","200","20",['Amorphous'],"Medium Slow
","70
"
578,"Duosion","['Psychic']","['Overcoat', 'Magic Guard', 'Regenerator']","V",65,40,50,125,60,30,370,8.0,0.6,0.5,"Mitosis Pokémon","100","20",['Amorphous'],"Medium Slow
","70
"
579,"Reuniclus","['Psychic']","['Overcoat', 'Magic Guard', 'Regenerator']","V",110,65,75,125,85,30,490,20.1,1.0,0.5,"Multiplying Pokémon","50","20",['Amorphous'],"Medium Slow
","70
"
580,"Ducklett","['Water', 'Flying']","['Keen Eye', 'Big Pecks', 'Hydration']","V",62,44,50,44,50,55,305,5.5,0.5,0.5,"Water Bird Pokémon","190","20",['Water 1' 'Flying'],"Medium Fast
","70
"
581,"Swanna","['Water', 'Flying']","['Keen Eye', 'Big Pecks', 'Hydration']","V",75,87,63,87,63,98,473,24.2,1.3,0.5,"White Bird Pokémon","45","20",['Water 1' 'Flying'],"Medium Fast
","70
"
582,"Vanillite","['Ice']","['Ice Body', 'Snow Cloak', 'Weak Armor']","V",36,50,50,65,60,44,305,5.7,0.4,0.5,"Fresh Snow Pokémon","255","20",['Mineral'],"Slow
","70
"
583,"Vanillish","['Ice']","['Ice Body', 'Snow Cloak', 'Weak Armor']","V",51,65,65,80,75,59,395,41.0,1.1,0.5,"Icy Snow Pokémon","120","20",['Mineral'],"Slow
","70
"
584,"Vanilluxe","['Ice']","['Ice Body', 'Snow Warning', 'Weak Armor']","V",71,95,85,110,95,79,535,57.5,1.3,0.5,"Snowstorm Pokémon","45","20",['Mineral'],"Slow
","70
"
585,"Deerling Spring Form","['Normal', 'Grass']","['Serene Grace']","V",60,60,50,40,50,75,335,19.5,0.6,0.5,"Season Pokémon","190","20",['Field'],"Medium Fast
","70
"
585,"Deerling Summer Form","['Normal', 'Grass']","['Chlorophyll', 'Sap Sipper', 'Serene Grace']","V",60,60,50,40,50,75,335,19.5,0.6,0.5,"Season Pokémon","190","20",['Field'],"Medium Fast
","70
"
585,"Deerling Autumn Form","['Normal', 'Grass']","['Serene Grace']","V",60,60,50,40,50,75,335,19.5,0.6,0.5,"Season Pokémon","190","20",['Field'],"Medium Fast
","70
"
585,"Deerling Winter Form","['Normal', 'Grass']","['Serene Grace']","V",60,60,50,40,50,75,335,19.5,0.6,0.5,"Season Pokémon","190","20",['Field'],"Medium Fast
","70
"
586,"Sawsbuck Spring Form","['Normal', 'Grass']","['Serene Grace']","V",80,100,70,60,70,95,475,92.5,1.9,0.5,"Season Pokémon","75","20",['Field'],"Medium Fast
","70
"
586,"Sawsbuck Summer Form","['Normal', 'Grass']","['Chlorophyll', 'Sap Sipper', 'Serene Grace']","V",80,100,70,60,70,95,475,92.5,1.9,0.5,"Season Pokémon","75","20",['Field'],"Medium Fast
","70
"
586,"Sawsbuck Autumn Form","['Normal', 'Grass']","['Serene Grace']","V",80,100,70,60,70,95,475,92.5,1.9,0.5,"Season Pokémon","75","20",['Field'],"Medium Fast
","70
"
586,"Sawsbuck Winter Form","['Normal', 'Grass']","['Serene Grace']","V",80,100,70,60,70,95,475,92.5,1.9,0.5,"Season Pokémon","75","20",['Field'],"Medium Fast
","70
"
587,"Emolga","['Electric', 'Flying']","['Static', 'Motor Drive']","V",55,75,60,75,60,103,428,5.0,0.4,0.5,"Sky Squirrel Pokémon","200","20",['Field'],"Medium Fast
","70
"
588,"Karrablast","['Bug']","['Swarm', 'Shed Skin', 'No Guard']","V",50,75,45,40,45,60,315,5.9,0.5,0.5,"Clamping Pokémon","200","15",['Bug'],"Medium Fast
","70
"
589,"Escavalier","['Bug', 'Steel']","['Swarm', 'Shell Armor', 'Overcoat']","V",70,135,105,60,105,20,495,33.0,1.0,0.5,"Cavalry Pokémon","75","15",['Bug'],"Medium Fast
","70
"
590,"Foongus","['Grass', 'Poison']","['Effect Spore', 'Regenerator']","V",69,55,45,55,55,15,294,1.0,0.2,0.5,"Mushroom Pokémon","190","20",['Grass'],"Medium Fast
","70
"
591,"Amoonguss","['Grass', 'Poison']","['Effect Spore', 'Regenerator']","V",114,85,70,85,80,30,464,10.5,0.6,0.5,"Mushroom Pokémon","75","20",['Grass'],"Medium Fast
","70
"
592,"Frillish","['Water', 'Ghost']","['Water Absorb', 'Cursed Body', 'Damp']","V",55,40,50,65,85,40,335,33.0,1.2,0.5,"Floating Pokémon","190","20",['Amorphous'],"Medium Fast
","70
"
593,"Jellicent","['Water', 'Ghost']","['Water Absorb', 'Cursed Body', 'Damp']","V",100,60,70,85,105,60,480,135.0,2.2,0.5,"Floating Pokémon","60","20",['Amorphous'],"Medium Fast
","70
"
594,"Alomomola","['Water']","['Healer', 'Hydration', 'Regenerator']","V",165,75,80,40,45,65,470,31.6,1.2,0.5,"Caring Pokémon","75","40",['Water 1' 'Water 2'],"Fast
","70
"
595,"Joltik","['Bug', 'Electric']","['Compound Eyes', 'Unnerve', 'Swarm']","V",50,47,50,57,50,65,319,0.6,0.1,0.5,"Attaching Pokémon","190","20",['Bug'],"Medium Fast
","70
"
596,"Galvantula","['Bug', 'Electric']","['Compound Eyes', 'Unnerve', 'Swarm']","V",70,77,60,97,60,108,472,14.3,0.8,0.5,"EleSpider Pokémon","75","20",['Bug'],"Medium Fast
","70
"
597,"Ferroseed","['Grass', 'Steel']","['Iron Barbs']","V",44,50,91,24,86,10,305,18.8,0.6,0.5,"Thorn Seed Pokémon","255","20",['Grass' 'Mineral'],"Medium Fast
","70
"
598,"Ferrothorn","['Grass', 'Steel']","['Iron Barbs']","V",74,94,131,54,116,20,489,110.0,1.0,0.5,"Thorn Pod Pokémon","90","20",['Grass' 'Mineral'],"Medium Fast
","70
"
599,"Klink","['Steel']","['Plus', 'Minus', 'Clear Body']","V",40,55,70,45,60,30,300,21.0,0.3,"","Gear Pokémon","130","20",['Mineral'],"Medium Slow
","70
"
600,"Klang","['Steel']","['Plus', 'Minus', 'Clear Body']","V",60,80,95,70,85,50,440,51.0,0.6,"","Gear Pokémon","60","20",['Mineral'],"Medium Slow
","70
"
601,"Klinklang","['Steel']","['Plus', 'Minus', 'Clear Body']","V",60,100,115,70,85,90,520,81.0,0.6,"","Gear Pokémon","30","20",['Mineral'],"Medium Slow
","70
"
602,"Tynamo","['Electric']","['Levitate']","V",35,55,40,45,40,60,275,0.3,0.2,0.5,"EleFish Pokémon","190","20",['Amorphous'],"Slow
","70
"
603,"Eelektrik","['Electric']","['Levitate']","V",65,85,70,75,70,40,405,22.0,1.2,0.5,"EleFish Pokémon","60","20",['Amorphous'],"Slow
","70
"
604,"Eelektross","['Electric']","['Levitate']","V",85,115,80,105,80,50,515,80.5,2.1,0.5,"EleFish Pokémon","30","20",['Amorphous'],"Slow
","70
"
605,"Elgyem","['Psychic']","['Telepathy', 'Synchronize', 'Analytic']","V",55,55,55,85,55,30,335,9.0,0.5,0.5,"Cerebral Pokémon","255","20",['Human-Like'],"Medium Fast
","70
"
606,"Beheeyem","['Psychic']","['Telepathy', 'Synchronize', 'Analytic']","V",75,75,75,125,95,40,485,34.5,1.0,0.5,"Cerebral Pokémon","90","20",['Human-Like'],"Medium Fast
","70
"
607,"Litwick","['Ghost', 'Fire']","['Flash Fire', 'Flame Body']","V",50,30,55,65,55,20,275,3.1,0.3,0.5,"Candle Pokémon","190","20",['Amorphous'],"Medium Slow
","70
"
608,"Lampent","['Ghost', 'Fire']","['Flash Fire', 'Flame Body']","V",60,40,60,95,60,55,370,13.0,0.6,0.5,"Lamp Pokémon","90","20",['Amorphous'],"Medium Slow
","70
"
609,"Chandelure","['Ghost', 'Fire']","['Flash Fire', 'Flame Body']","V",60,55,90,145,90,80,520,34.3,1.0,0.5,"Luring Pokémon","45","20",['Amorphous'],"Medium Slow
","70
"
610,"Axew","['Dragon']","['Rivalry', 'Mold Breaker', 'Unnerve']","V",46,87,60,30,40,57,320,18.0,0.6,0.5,"Tusk Pokémon","75","40",['Monster' 'Dragon'],"Slow
","35
"
611,"Fraxure","['Dragon']","['Rivalry', 'Mold Breaker', 'Unnerve']","V",66,117,70,40,50,67,410,36.0,1.0,0.5,"Axe Jaw Pokémon","60","40",['Monster' 'Dragon'],"Slow
","35
"
612,"Haxorus","['Dragon']","['Rivalry', 'Mold Breaker', 'Unnerve']","V",76,147,90,60,70,97,540,105.5,1.8,0.5,"Axe Jaw Pokémon","45","40",['Monster' 'Dragon'],"Slow
","35
"
613,"Cubchoo","['Ice']","['Snow Cloak', 'Slush Rush', 'Rattled']","V",55,70,40,60,40,40,305,8.5,0.5,0.5,"Chill Pokémon","120","20",['Field'],"Medium Fast
","70
"
614,"Beartic","['Ice']","['Snow Cloak', 'Slush Rush', 'Swift Swim']","V",95,130,80,70,80,50,505,260.0,2.6,0.5,"Freezing Pokémon","60","20",['Field'],"Medium Fast
","70
"
615,"Cryogonal","['Ice']","['Levitate']","V",80,50,50,95,135,105,515,148.0,1.1,"","Crystallizing Pokémon","25","25",['Mineral'],"Medium Fast
","70
"
616,"Shelmet","['Bug']","['Hydration', 'Shell Armor', 'Overcoat']","V",50,40,85,40,65,25,305,7.7,0.4,0.5,"Snail Pokémon","200","15",['Bug'],"Medium Fast
","70
"
617,"Accelgor","['Bug']","['Hydration', 'Sticky Hold', 'Unburden']","V",80,70,40,100,60,145,495,25.3,0.8,0.5,"Shell Out Pokémon","75","15",['Bug'],"Medium Fast
","70
"
618,"Stunfisk","['Ground', 'Electric']","['Static', 'Limber', 'Sand Veil']","V",109,66,84,81,99,32,471,11.0,0.7,0.5,"Trap Pokémon","75","20",['Water 1' 'Amorphous'],"Medium Fast
","70
"
618,"Galarian Stunfisk","['Ground', 'Steel']","['Mimicry']","V",109,81,99,66,84,32,471,11.0,0.7,0.5,"Trap Pokémon","75","20",['Water 1' 'Amorphous'],"Medium Fast
","70
"
619,"Mienfoo","['Fighting']","['Inner Focus', 'Regenerator', 'Reckless']","V",45,85,50,55,50,65,350,20.0,0.9,0.5,"Martial Arts Pokémon","180","25",['Field' 'Human-Like'],"Medium Slow
","70
"
620,"Mienshao","['Fighting']","['Inner Focus', 'Regenerator', 'Reckless']","V",65,125,60,95,60,105,510,35.5,1.4,0.5,"Martial Arts Pokémon","45","25",['Field' 'Human-Like'],"Medium Slow
","70
"
621,"Druddigon","['Dragon']","['Rough Skin', 'Sheer Force', 'Mold Breaker']","V",77,120,90,60,90,48,485,139.0,1.6,0.5,"Cave Pokémon","45","30",['Dragon' 'Monster'],"Medium Fast
","70
"
622,"Golett","['Ground', 'Ghost']","['Iron Fist', 'Klutz', 'No Guard']","V",59,74,50,35,50,35,303,92.0,1.0,"","Automaton Pokémon","190","25",['Mineral'],"Medium Fast
","70
"
623,"Golurk","['Ground', 'Ghost']","['Iron Fist', 'Klutz', 'No Guard']","V",89,124,80,55,80,55,483,330.0,2.8,"","Automaton Pokémon","90","25",['Mineral'],"Medium Fast
","70
"
624,"Pawniard","['Dark', 'Steel']","['Defiant', 'Inner Focus', 'Pressure']","V",45,85,70,40,40,60,340,10.2,0.5,0.5,"Sharp Blade Pokémon","120","20",['Human-Like'],"Medium Fast
","35
"
625,"Bisharp","['Dark', 'Steel']","['Defiant', 'Inner Focus', 'Pressure']","V",65,125,100,60,70,70,490,70.0,1.6,0.5,"Sword Blade Pokémon","45","20",['Human-Like'],"Medium Fast
","35
"
626,"Bouffalant","['Normal']","['Reckless', 'Sap Sipper', 'Soundproof']","V",95,110,95,40,95,55,490,94.6,1.6,0.5,"Bash Buffalo Pokémon","45","20",['Field'],"Medium Fast
","70
"
627,"Rufflet","['Normal', 'Flying']","['Keen Eye', 'Sheer Force', 'Hustle']","V",70,83,50,37,50,60,350,10.5,0.5,1.0,"Eaglet Pokémon","190","20",['Flying'],"Slow
","70
"
628,"Braviary","['Normal', 'Flying']","['Defiant']","V",100,123,75,57,75,80,510,41.0,1.5,1.0,"Valiant PokémonBattle Cry Pokémon","60","20",['Flying'],"Slow
","70
"
628,"Hisuian Braviary","['Psychic', 'Flying']","['Keen Eye', 'Sheer Force', 'Tinted Lens']","V",110,83,70,112,70,65,510,41.0,1.5,1.0,"Valiant PokémonBattle Cry Pokémon","60","20",['Flying'],"Slow
","70
"
629,"Vullaby","['Dark', 'Flying']","['Big Pecks', 'Overcoat', 'Weak Armor']","V",70,55,75,45,65,60,370,9.0,0.5,0.0,"Diapered Pokémon","190","20",['Flying'],"Slow
","35
"
630,"Mandibuzz","['Dark', 'Flying']","['Big Pecks', 'Overcoat', 'Weak Armor']","V",110,65,105,55,95,80,510,39.5,1.2,0.0,"Bone Vulture Pokémon","60","20",['Flying'],"Slow
","35
"
631,"Heatmor","['Fire']","['Gluttony', 'Flash Fire', 'White Smoke']","V",85,97,66,105,66,65,484,58.0,1.4,0.5,"Anteater Pokémon","90","20",['Field'],"Medium Fast
","70
"
632,"Durant","['Bug', 'Steel']","['Swarm', 'Hustle', 'Truant']","V",58,109,112,48,48,109,484,33.0,0.3,0.5,"Iron Ant Pokémon","90","20",['Bug'],"Medium Fast
","70
"
633,"Deino","['Dark', 'Dragon']","['Hustle']","V",52,65,50,45,50,38,300,17.3,0.8,0.5,"Irate Pokémon","45","40",['Dragon'],"Slow
","35
"
634,"Zweilous","['Dark', 'Dragon']","['Hustle']","V",72,85,70,65,70,58,420,50.0,1.4,0.5,"Hostile Pokémon","45","40",['Dragon'],"Slow
","35
"
635,"Hydreigon","['Dark', 'Dragon']","['Levitate']","V",92,105,90,125,90,98,600,160.0,1.8,0.5,"Brutal Pokémon","45","40",['Dragon'],"Slow
","35
"
636,"Larvesta","['Bug', 'Fire']","['Flame Body', 'Swarm']","V",55,85,55,50,55,60,360,28.8,1.1,0.5,"Torch Pokémon","45","40",['Bug'],"Slow
","70
"
637,"Volcarona","['Bug', 'Fire']","['Flame Body', 'Swarm']","V",85,60,65,135,105,100,550,46.0,1.6,0.5,"Sun Pokémon","15","40",['Bug'],"Slow
","70
"
638,"Cobalion","['Steel', 'Fighting']","['Justified']","V",91,90,129,90,72,108,580,250.0,2.1,"","Iron Will Pokémon","3","80",['No Eggs Discovered'],"Slow
","35
"
639,"Terrakion","['Rock', 'Fighting']","['Justified']","V",91,129,90,72,90,108,580,260.0,1.9,"","Cavern Pokémon","3","80",['No Eggs Discovered'],"Slow
","35
"
640,"Virizion","['Grass', 'Fighting']","['Justified']","V",91,90,72,90,129,108,580,200.0,2.0,"","Grassland Pokémon","3","80",['No Eggs Discovered'],"Slow
","35
"
641,"Tornadus Incarnate Forme","['Flying']","['Defiant']","V",79,115,70,125,80,111,580,63.0,1.5,1.0,"Cyclone Pokémon","3","120",['No Eggs Discovered'],"Slow
","90
"
641,"Tornadus Therian Forme","['Flying']","['Prankster', 'Defiant', 'Regenerator']","V",79,100,80,110,90,121,580,63.0,1.5,1.0,"Cyclone Pokémon","3","120",['No Eggs Discovered'],"Slow
","90
"
642,"Thundurus Incarnate Forme","['Electric', 'Flying']","['Defiant']","V",79,115,70,125,80,111,580,61.0,1.5,1.0,"Bolt Strike Pokémon","3","120",['No Eggs Discovered'],"Slow
","90
"
642,"Thundurus Therian Forme","['Electric', 'Flying']","['Prankster', 'Defiant', 'Volt Absorb']","V",79,105,70,145,80,101,580,61.0,1.5,1.0,"Bolt Strike Pokémon","3","120",['No Eggs Discovered'],"Slow
","90
"
643,"Reshiram","['Dragon', 'Fire']","['Turboblaze']","V",100,120,100,150,120,90,680,330.0,3.2,"","Vast White Pokémon","3","120",['No Eggs Discovered'],"Slow
","0
"
644,"Zekrom","['Dragon', 'Electric']","['Teravolt']","V",100,150,120,120,100,90,680,345.0,2.9,"","Deep Black Pokémon","3","120",['No Eggs Discovered'],"Slow
","0
"
645,"Landorus Incarnate Forme","['Ground', 'Flying']","['Sheer Force']","V",89,125,90,115,80,101,600,68.0,1.5,1.0,"Abundance Pokémon","3","120",['No Eggs Discovered'],"Slow
","90
"
645,"Landorus Therian Forme","['Ground', 'Flying']","['Sand Force', 'Sheer Force', 'Intimidate']","V",89,145,90,105,80,91,600,68.0,1.5,1.0,"Abundance Pokémon","3","120",['No Eggs Discovered'],"Slow
","90
"
646,"Kyurem Kyurem","['Dragon', 'Ice']","['Pressure']","V",125,130,90,130,90,95,700,325.0,3.0,"","Boundary Pokémon","3","120",['No Eggs Discovered'],"Slow
","0
"
646,"Kyurem White Kyurem","['Dragon', 'Ice']","['Turboblaze']","V",125,120,90,170,100,95,700,325.0,3.0,"","Boundary Pokémon","3","120",['No Eggs Discovered'],"Slow
","0
"
646,"Kyurem Black Kyurem","['Dragon', 'Ice']","['Teravolt']","V",125,170,100,120,90,95,700,325.0,3.0,"","Boundary Pokémon","3","120",['No Eggs Discovered'],"Slow
","0
"
647,"Keldeo Ordinary Form","['Water', 'Fighting']","['Justified']","V",91,72,90,129,90,108,580,48.5,1.4,"","Colt Pokémon","3","80",['No Eggs Discovered'],"Slow
","35
"
647,"Keldeo Resolute Form","['Water', 'Fighting']","['Justified']","V",91,72,90,129,90,108,580,48.5,1.4,"","Colt Pokémon","3","80",['No Eggs Discovered'],"Slow
","35
"
